City,AreaType,Sqft,Bedrooms,Bathrooms,Floor,NoofFloors,FurnishingStatus,TenantPreferred,PointofContact
kolkata,carpet,720,2,2,4.0,4.0,semi-furnished,bachelors/family,owner
kolkata,carpet,300,1,1,1.0,3.0,unfurnished,bachelors,owner
kolkata,carpet,1200,3,3,0.9,2.0,unfurnished,bachelors/family,agent
kolkata,carpet,700,2,2,14.0,8.0,unfurnished,bachelors/family,owner
kolkata,super,2000,3,2,1.0,3.0,semi-furnished,bachelors/family,owner
kolkata,super,250,1,1,0.9,4.0,semi-furnished,bachelors/family,owner
kolkata,carpet,1100,2,1,0.9,3.0,unfurnished,bachelors,owner
kolkata,carpet,300,1,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,600,2,1,0.9,2.0,semi-furnished,bachelors/family,owner
kolkata,carpet,800,2,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,680,1,1,1.0,3.0,unfurnished,bachelors/family,owner
kolkata,super,680,1,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,850,2,1,1.0,4.0,semi-furnished,bachelors,agent
kolkata,carpet,850,2,1,1.0,2.0,semi-furnished,bachelors,agent
kolkata,super,700,2,1,0.9,2.0,unfurnished,bachelors,owner
kolkata,super,1500,3,2,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,950,2,2,1.0,4.0,semi-furnished,bachelors/family,owner
kolkata,super,500,2,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,450,1,1,2.0,4.0,semi-furnished,bachelors/family,owner
kolkata,super,500,1,1,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,super,1800,3,2,0.9,2.0,semi-furnished,bachelors/family,owner
kolkata,carpet,500,1,1,1.0,3.0,semi-furnished,bachelors/family,owner
kolkata,carpet,480,2,2,0.9,3.0,furnished,bachelors/family,owner
kolkata,super,1000,3,2,1.0,1.0,semi-furnished,bachelors/family,owner
kolkata,super,800,2,1,1.0,2.0,furnished,bachelors/family,owner
kolkata,super,435,1,1,2.0,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,700,2,2,0.9,2.0,semi-furnished,bachelors/family,agent
kolkata,super,800,2,1,4.0,4.0,furnished,bachelors/family,agent
kolkata,super,450,2,1,1.0,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,550,2,1,2.0,3.0,semi-furnished,bachelors/family,agent
kolkata,carpet,800,2,2,0.9,4.0,unfurnished,bachelors,agent
kolkata,carpet,550,2,2,0.9,2.0,semi-furnished,family,owner
kolkata,super,600,1,1,2.0,4.0,furnished,bachelors/family,owner
kolkata,super,500,1,1,0.9,1.0,unfurnished,bachelors/family,owner
kolkata,super,1000,2,2,1.0,2.0,furnished,bachelors/family,owner
kolkata,carpet,300,1,1,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,super,1200,2,2,1.0,3.0,furnished,bachelors/family,owner
kolkata,carpet,500,2,1,3.0,4.0,semi-furnished,bachelors/family,owner
kolkata,super,1200,4,2,1.0,2.0,unfurnished,family,owner
kolkata,carpet,900,2,2,1.0,2.0,semi-furnished,bachelors/family,agent
kolkata,carpet,1300,3,3,0.9,2.0,unfurnished,bachelors/family,agent
kolkata,carpet,1600,4,3,1.0,5.0,unfurnished,bachelors/family,agent
kolkata,super,1450,3,2,0.9,1.0,unfurnished,family,owner
kolkata,super,1100,2,2,2.0,2.0,furnished,bachelors,agent
kolkata,carpet,950,2,2,0.9,1.0,unfurnished,bachelors/family,owner
kolkata,carpet,600,1,1,14.0,5.0,unfurnished,bachelors/family,owner
kolkata,carpet,700,2,2,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,750,3,1,0.9,2.0,unfurnished,family,owner
kolkata,super,1000,2,1,0.9,1.0,unfurnished,bachelors/family,owner
kolkata,super,220,1,1,0.9,2.0,furnished,bachelors/family,owner
kolkata,carpet,300,1,1,1.0,3.0,semi-furnished,bachelors,agent
kolkata,carpet,300,1,1,0.9,1.0,unfurnished,bachelors/family,agent
kolkata,super,700,1,1,1.0,2.0,semi-furnished,bachelors/family,owner
kolkata,super,800,3,2,0.9,1.0,unfurnished,bachelors/family,owner
kolkata,super,1600,3,2,1.0,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,1000,2,2,1.0,3.0,unfurnished,bachelors/family,owner
kolkata,super,20,1,1,2.0,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,400,2,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,200,1,1,2.0,2.0,furnished,bachelors/family,owner
kolkata,carpet,840,3,2,1.0,4.0,unfurnished,bachelors,owner
kolkata,carpet,300,1,1,1.0,1.0,unfurnished,bachelors/family,agent
kolkata,carpet,550,2,2,1.0,2.0,furnished,bachelors/family,agent
kolkata,carpet,300,1,1,1.0,2.0,unfurnished,bachelors/family,agent
kolkata,super,800,2,2,1.0,1.0,unfurnished,bachelors/family,owner
kolkata,carpet,740,2,1,0.9,6.0,unfurnished,bachelors,owner
kolkata,super,1300,2,2,1.0,1.0,unfurnished,bachelors/family,owner
kolkata,super,650,2,1,0.9,1.0,semi-furnished,bachelors/family,owner
kolkata,super,490,2,1,1.0,1.0,semi-furnished,bachelors/family,owner
kolkata,super,250,1,1,2.0,2.0,furnished,bachelors/family,owner
kolkata,super,250,1,1,0.9,1.0,furnished,bachelors/family,owner
kolkata,super,450,1,1,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,300,1,1,0.9,1.0,semi-furnished,bachelors/family,owner
kolkata,super,750,2,2,1.0,3.0,unfurnished,bachelors/family,owner
kolkata,super,250,1,1,1.0,2.0,furnished,bachelors/family,owner
kolkata,carpet,751,2,1,3.0,3.0,unfurnished,bachelors,owner
kolkata,carpet,900,2,1,0.9,2.0,semi-furnished,bachelors,owner
kolkata,carpet,400,2,1,1.0,3.0,semi-furnished,bachelors/family,owner
kolkata,carpet,1000,2,2,0.9,2.0,semi-furnished,bachelors/family,agent
kolkata,carpet,1000,2,1,0.9,1.0,unfurnished,bachelors/family,owner
kolkata,carpet,1500,3,2,1.0,1.0,semi-furnished,family,owner
kolkata,carpet,750,2,2,1.0,3.0,unfurnished,bachelors/family,owner
kolkata,super,1200,1,1,2.0,4.0,semi-furnished,bachelors/family,owner
kolkata,super,700,2,1,0.9,1.0,unfurnished,bachelors/family,owner
kolkata,carpet,700,2,1,4.0,4.0,furnished,bachelors/family,owner
kolkata,super,1000,2,1,0.9,2.0,semi-furnished,bachelors/family,owner
kolkata,super,1200,2,2,1.0,3.0,unfurnished,bachelors/family,owner
kolkata,super,550,2,1,2.0,3.0,furnished,bachelors/family,owner
kolkata,carpet,800,2,1,0.9,4.0,unfurnished,bachelors,owner
kolkata,super,280,2,1,1.0,3.0,unfurnished,bachelors,owner
kolkata,super,1100,3,3,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,950,2,1,0.9,2.0,unfurnished,bachelors/family,agent
kolkata,carpet,1000,2,1,0.9,2.0,unfurnished,bachelors,owner
kolkata,carpet,1000,3,2,0.9,2.0,semi-furnished,bachelors/family,owner
kolkata,super,650,2,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,700,2,2,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,700,2,1,0.9,3.0,unfurnished,bachelors,owner
kolkata,super,1000,3,2,0.9,3.0,semi-furnished,bachelors/family,owner
kolkata,carpet,900,2,2,1.0,4.0,unfurnished,bachelors,owner
kolkata,super,700,1,1,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,450,2,2,2.0,1.0,semi-furnished,bachelors/family,owner
kolkata,super,120,1,1,0.9,3.0,unfurnished,bachelors/family,owner
kolkata,super,800,2,2,1.0,2.0,semi-furnished,bachelors/family,owner
kolkata,carpet,1220,3,2,2.0,3.0,unfurnished,bachelors/family,owner
kolkata,super,1100,3,1,0.9,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,700,3,2,0.9,3.0,unfurnished,family,owner
kolkata,super,800,2,1,0.9,3.0,furnished,bachelors/family,owner
kolkata,super,670,2,1,2.0,2.0,unfurnished,family,owner
kolkata,super,1300,4,3,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,super,190,1,1,0.9,2.0,semi-furnished,bachelors/family,owner
kolkata,super,700,2,1,0.9,2.0,semi-furnished,bachelors/family,owner
kolkata,carpet,240,1,1,0.9,4.0,unfurnished,bachelors,owner
kolkata,carpet,850,2,1,2.0,4.0,semi-furnished,family,owner
kolkata,super,950,1,2,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,450,1,1,1.0,2.0,furnished,bachelors/family,owner
kolkata,carpet,800,2,1,0.9,2.0,unfurnished,bachelors,owner
kolkata,carpet,600,2,1,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,800,3,2,2.0,2.0,unfurnished,bachelors,owner
kolkata,carpet,1100,3,2,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,800,2,1,0.9,2.0,furnished,bachelors/family,owner
kolkata,super,2000,1,3,2.0,5.0,furnished,bachelors/family,owner
kolkata,carpet,950,2,2,1.0,1.0,unfurnished,bachelors,owner
kolkata,carpet,550,2,1,2.0,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,1800,2,2,1.0,1.0,unfurnished,bachelors,owner
kolkata,super,1000,2,1,0.9,2.0,furnished,bachelors/family,owner
kolkata,super,600,2,2,0.9,3.0,semi-furnished,bachelors/family,owner
kolkata,carpet,750,2,2,2.0,4.0,semi-furnished,bachelors/family,owner
kolkata,super,685,2,1,2.0,3.0,unfurnished,bachelors/family,agent
kolkata,carpet,44,1,1,0.9,1.0,furnished,bachelors/family,owner
kolkata,carpet,1200,4,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,500,2,1,0.9,2.0,unfurnished,bachelors,owner
kolkata,carpet,1110,4,2,2.0,2.0,unfurnished,bachelors/family,owner
kolkata,super,1000,2,2,1.0,3.0,unfurnished,bachelors/family,owner
kolkata,super,392,2,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,700,2,1,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,super,750,1,1,2.0,4.0,unfurnished,bachelors/family,owner
kolkata,super,1500,3,2,1.0,2.0,unfurnished,family,owner
kolkata,super,900,2,2,0.9,1.0,unfurnished,bachelors/family,owner
kolkata,super,710,1,1,1.0,1.0,furnished,bachelors,agent
kolkata,carpet,400,1,1,0.9,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,700,1,1,1.0,2.0,unfurnished,bachelors,owner
kolkata,carpet,1000,2,1,0.9,2.0,semi-furnished,bachelors/family,owner
kolkata,carpet,500,1,1,0.9,3.0,semi-furnished,bachelors/family,owner
kolkata,carpet,450,2,1,2.0,2.0,semi-furnished,bachelors/family,owner
kolkata,super,1400,3,1,1.0,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,500,1,1,1.0,1.0,semi-furnished,bachelors/family,owner
kolkata,carpet,700,2,1,0.9,1.0,unfurnished,bachelors/family,owner
kolkata,carpet,1200,3,1,1.0,3.0,semi-furnished,bachelors/family,owner
kolkata,carpet,450,2,1,1.0,2.0,unfurnished,bachelors,owner
kolkata,carpet,500,1,1,2.0,2.0,furnished,bachelors,agent
kolkata,carpet,400,2,1,0.9,1.0,unfurnished,bachelors/family,owner
kolkata,super,1000,3,2,0.9,1.0,unfurnished,bachelors/family,owner
kolkata,carpet,750,2,1,0.9,1.0,unfurnished,bachelors,owner
kolkata,super,450,1,1,0.9,2.0,unfurnished,family,owner
kolkata,carpet,1000,3,2,1.0,2.0,unfurnished,bachelors,agent
kolkata,carpet,500,2,2,1.0,1.0,unfurnished,bachelors,owner
kolkata,carpet,1600,4,2,0.9,1.0,unfurnished,bachelors,agent
kolkata,carpet,550,2,1,0.9,1.0,unfurnished,bachelors,owner
kolkata,super,550,1,2,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,super,200,1,1,2.0,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,650,2,1,1.0,2.0,unfurnished,bachelors,owner
kolkata,super,1000,2,2,1.0,1.0,furnished,bachelors/family,owner
kolkata,carpet,680,2,2,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,720,2,2,0.9,1.0,unfurnished,bachelors/family,owner
kolkata,carpet,500,2,1,4.0,5.0,unfurnished,bachelors,owner
kolkata,super,160,1,1,0.9,1.0,unfurnished,bachelors/family,owner
kolkata,carpet,1200,2,2,1.0,2.0,unfurnished,bachelors/family,agent
kolkata,super,700,1,1,0.9,4.0,furnished,bachelors/family,owner
kolkata,super,1000,1,1,0.9,1.0,semi-furnished,bachelors/family,owner
kolkata,super,1250,2,2,0.9,1.0,unfurnished,bachelors/family,agent
kolkata,super,1600,4,3,0.9,3.0,unfurnished,bachelors/family,owner
kolkata,super,450,1,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,839,2,2,1.0,3.0,semi-furnished,bachelors/family,owner
kolkata,super,230,1,1,0.9,3.0,unfurnished,bachelors/family,owner
kolkata,super,1800,1,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,800,2,2,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,500,1,1,0.9,1.0,semi-furnished,bachelors/family,owner
kolkata,carpet,620,2,1,0.9,1.0,unfurnished,bachelors,owner
kolkata,carpet,650,2,1,2.0,3.0,unfurnished,bachelors/family,owner
kolkata,super,550,1,1,1.0,2.0,semi-furnished,bachelors/family,agent
kolkata,carpet,450,2,2,1.0,3.0,furnished,bachelors,owner
kolkata,carpet,1350,3,2,1.0,2.0,unfurnished,family,owner
kolkata,super,600,2,2,2.0,2.0,semi-furnished,bachelors/family,owner
kolkata,super,1200,3,1,2.0,4.0,furnished,bachelors/family,owner
kolkata,super,700,2,1,1.0,2.0,unfurnished,bachelors/family,agent
kolkata,carpet,800,3,2,1.0,3.0,furnished,bachelors/family,owner
kolkata,carpet,600,2,1,0.9,3.0,semi-furnished,bachelors/family,owner
kolkata,super,900,2,2,1.0,3.0,unfurnished,bachelors/family,owner
kolkata,super,750,2,1,0.9,1.0,unfurnished,bachelors/family,owner
kolkata,super,1250,3,2,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,super,1000,3,3,2.0,2.0,semi-furnished,bachelors/family,owner
kolkata,carpet,650,2,1,1.0,1.0,unfurnished,bachelors/family,owner
kolkata,carpet,450,2,1,2.0,3.0,unfurnished,bachelors,owner
kolkata,super,800,3,2,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,1000,3,2,0.9,3.0,semi-furnished,bachelors/family,owner
kolkata,super,1000,2,1,0.9,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,1400,3,3,5.0,5.0,furnished,bachelors,agent
kolkata,carpet,600,2,1,1.0,4.0,semi-furnished,bachelors,owner
kolkata,carpet,723,2,1,0.9,3.0,furnished,family,owner
kolkata,carpet,320,1,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,900,2,1,0.9,3.0,semi-furnished,bachelors/family,owner
kolkata,carpet,1400,3,2,0.9,2.0,furnished,bachelors/family,agent
kolkata,super,2160,1,1,1.0,2.0,semi-furnished,bachelors,owner
kolkata,carpet,650,2,1,0.9,2.0,semi-furnished,bachelors/family,owner
kolkata,super,800,2,1,1.0,1.0,semi-furnished,bachelors/family,owner
kolkata,super,800,3,1,2.0,3.0,semi-furnished,bachelors/family,owner
kolkata,carpet,500,1,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,1700,3,2,1.0,2.0,semi-furnished,bachelors/family,owner
kolkata,carpet,130,1,1,0.9,2.0,semi-furnished,bachelors/family,owner
kolkata,super,505,1,1,0.9,3.0,furnished,bachelors/family,owner
kolkata,super,2000,4,3,0.9,3.0,furnished,bachelors/family,agent
kolkata,super,1250,3,2,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,700,1,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,900,2,1,0.9,1.0,unfurnished,bachelors,owner
kolkata,super,650,1,1,1.0,1.0,semi-furnished,bachelors/family,owner
kolkata,super,750,2,1,0.9,1.0,furnished,bachelors/family,owner
kolkata,carpet,450,2,1,0.9,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,350,1,1,1.0,2.0,semi-furnished,bachelors/family,owner
kolkata,carpet,480,1,2,1.0,2.0,furnished,bachelors,owner
kolkata,super,900,2,1,0.9,3.0,unfurnished,bachelors/family,owner
kolkata,super,200,1,1,0.9,2.0,semi-furnished,bachelors/family,owner
kolkata,super,1100,3,3,2.0,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,800,2,1,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,1000,3,2,0.9,2.0,furnished,bachelors/family,owner
kolkata,carpet,800,1,1,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,super,200,1,1,0.5,4.0,semi-furnished,bachelors/family,owner
kolkata,carpet,1190,3,2,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,900,2,2,0.9,2.0,unfurnished,bachelors,agent
kolkata,super,1500,2,2,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,600,2,1,2.0,3.0,unfurnished,bachelors/family,owner
kolkata,super,800,3,1,0.9,4.0,unfurnished,bachelors/family,owner
kolkata,carpet,800,2,2,1.0,2.0,unfurnished,family,owner
kolkata,carpet,900,3,2,0.9,3.0,semi-furnished,bachelors/family,owner
kolkata,carpet,350,1,1,0.9,3.0,semi-furnished,bachelors/family,owner
kolkata,carpet,1600,2,2,0.9,3.0,unfurnished,bachelors,owner
kolkata,carpet,1012,3,2,2.0,3.0,semi-furnished,bachelors/family,owner
kolkata,carpet,1200,3,2,0.9,2.0,unfurnished,bachelors,owner
kolkata,super,700,2,1,1.0,2.0,furnished,bachelors/family,owner
kolkata,carpet,800,2,1,0.9,3.0,unfurnished,bachelors,owner
kolkata,super,500,1,1,0.9,1.0,semi-furnished,bachelors/family,owner
kolkata,carpet,1200,3,2,0.9,1.0,semi-furnished,bachelors,owner
kolkata,carpet,450,1,1,0.9,2.0,unfurnished,bachelors,agent
kolkata,carpet,950,3,2,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,350,1,1,0.9,2.0,unfurnished,bachelors/family,agent
kolkata,carpet,450,1,1,0.9,3.0,unfurnished,bachelors/family,agent
kolkata,carpet,550,1,1,0.9,2.0,semi-furnished,bachelors,owner
kolkata,carpet,300,2,1,0.9,1.0,unfurnished,bachelors,owner
kolkata,super,1250,3,2,0.9,3.0,semi-furnished,bachelors/family,owner
kolkata,super,700,2,1,2.0,3.0,unfurnished,bachelors/family,owner
kolkata,super,812,3,2,0.9,3.0,unfurnished,bachelors/family,owner
kolkata,super,550,2,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,320,1,1,1.0,2.0,furnished,bachelors,owner
kolkata,super,600,2,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,420,2,1,0.9,2.0,unfurnished,bachelors,owner
kolkata,super,1100,3,1,0.9,2.0,unfurnished,bachelors,owner
kolkata,super,220,1,1,3.0,4.0,unfurnished,bachelors/family,owner
kolkata,carpet,700,2,2,0.9,2.0,semi-furnished,bachelors/family,owner
kolkata,carpet,1200,3,2,0.9,2.0,unfurnished,bachelors/family,agent
kolkata,carpet,800,2,2,0.9,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,300,1,1,0.9,1.0,furnished,bachelors,agent
kolkata,carpet,650,2,1,0.9,2.0,unfurnished,bachelors/family,owner
kolkata,super,600,1,1,1.0,2.0,furnished,bachelors/family,owner
kolkata,super,350,1,1,0.9,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,500,1,1,1.0,3.0,unfurnished,bachelors,owner
kolkata,super,400,1,1,1.0,1.0,unfurnished,bachelors/family,owner
kolkata,super,1750,3,3,0.9,3.0,semi-furnished,bachelors/family,owner
kolkata,super,1600,3,2,3.0,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,300,1,1,0.9,2.0,semi-furnished,bachelors/family,agent
kolkata,super,1100,2,2,1.0,3.0,semi-furnished,bachelors/family,owner
kolkata,super,830,2,1,0.9,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,600,2,2,0.9,2.0,semi-furnished,bachelors/family,owner
kolkata,super,500,1,2,1.0,2.0,unfurnished,bachelors,owner
kolkata,carpet,900,2,1,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,1250,2,2,0.9,1.0,unfurnished,family,owner
kolkata,carpet,700,2,1,0.9,2.0,unfurnished,bachelors,agent
kolkata,carpet,850,1,2,0.9,1.0,unfurnished,bachelors,owner
kolkata,carpet,550,2,1,0.9,1.0,unfurnished,bachelors/family,owner
kolkata,carpet,550,2,2,0.9,1.0,furnished,bachelors/family,owner
kolkata,super,1200,2,1,0.9,1.0,unfurnished,bachelors/family,owner
kolkata,carpet,1100,3,2,0.9,1.0,unfurnished,bachelors,agent
kolkata,carpet,1050,3,2,0.9,1.0,unfurnished,bachelors,agent
kolkata,super,960,2,2,0.9,2.0,semi-furnished,bachelors/family,owner
kolkata,carpet,650,2,2,1.0,1.0,unfurnished,bachelors/family,owner
kolkata,super,550,1,1,0.9,2.0,semi-furnished,bachelors/family,owner
kolkata,super,500,2,2,0.9,1.0,semi-furnished,bachelors/family,owner
kolkata,super,450,1,1,3.0,4.0,unfurnished,family,owner
kolkata,super,850,2,2,1.0,2.0,unfurnished,bachelors,owner
kolkata,carpet,300,1,1,0.9,3.0,unfurnished,bachelors/family,agent
kolkata,carpet,1000,2,3,1.0,2.0,semi-furnished,bachelors/family,owner
kolkata,carpet,500,2,1,1.0,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,756,2,1,0.9,3.0,semi-furnished,bachelors/family,owner
kolkata,super,1000,1,1,2.0,3.0,unfurnished,bachelors/family,owner
kolkata,carpet,150,1,1,1.0,2.0,unfurnished,bachelors/family,owner
kolkata,carpet,800,1,1,0.9,2.0,unfurnished,bachelors,owner
kolkata,super,700,2,2,2.0,3.0,unfurnished,bachelors,agent
kolkata,super,420,1,1,3.0,3.0,unfurnished,bachelors,owner
kolkata,super,800,2,1,0.9,1.0,unfurnished,bachelors,agent
kolkata,carpet,288,2,1,2.0,3.0,unfurnished,bachelors,owner
kolkata,carpet,850,2,2,1.0,1.0,unfurnished,bachelors,agent
kolkata,carpet,350,1,1,1.0,1.0,unfurnished,bachelors,owner
kolkata,carpet,1600,2,1,0.9,2.0,semi-furnished,bachelors,owner
kolkata,carpet,986,2,1,2.0,3.0,unfurnished,bachelors,owner
kolkata,carpet,1330,3,2,1.0,3.0,unfurnished,bachelors,agent
kolkata,super,1300,3,2,0.9,3.0,semi-furnished,bachelors/family,owner
kolkata,carpet,800,2,1,1.0,4.0,unfurnished,bachelors/family,owner
kolkata,super,850,2,1,0.9,3.0,unfurnished,bachelors,owner
kolkata,carpet,322,1,1,1.0,3.0,unfurnished,bachelors/family,agent
kolkata,carpet,1500,4,2,0.9,2.0,unfurnished,bachelors,agent
kolkata,super,2000,3,2,1.0,2.0,semi-furnished,bachelors/family,owner
kolkata,carpet,957,2,2,1.0,2.0,furnished,bachelors,owner
